1, 1599
1, 1104
2, 1067
3, 1880
4, 1880
5, 1880
6, 1880
7, 1880
8, 1880
9, 1880
10, 1880
11, 1880
12, 1880
13, 1880
14, 1880
15, 1880
16, 1880
17, 1880
18, 1880
19, 1880
20, 1880
21, 1880
22, 1880
23, 1880
24, 1880
25, 1880
26, 1880
27, 1880
28, 1880
29, 1980
30, 2880
31, 2880
32, 2880
33, 2880
34, 2880
35, 2880
36, 2880
37, 2880
38, 5406
39, 5406
40, 5406
41, 5406
42, 5406
43, 5406
44, 5406
45, 5406
46, 5406
47, 5406
48, 5406
49, 5406
50, 5406
51, 5406
52, 5406
53, 5406
54, 5406
55, 5406
56, 5406
57, 5406
58, 5406
59, 5406
60, 5406
61, 5406
62, 5406
63, 5406
64, 5406
65, 5406
66, 5406
67, 5406
68, 5406
69, 5406
70, 5406
71, 5406
72, 5406
73, 5406
74, 5406
75, 5406
76, 5406
77, 5406
78, 5406
79, 5406
80, 5406
81, 5406
82, 5406
83, 5406
84, 5406
85, 5406
86, 5406
87, 5406
88, 5406
89, 5406
